trip_id,arrival_time,departure_time,stop_id,stop_sequence
p1-2022-3WD,17:13:00,17:13:00,p07_platform1,7
p1-2022-3WD,17:23:00,17:23:00,p07_platform1,7
p1-2022-3WD,17:33:00,17:33:00,p07_platform1,7
p1-2022-3WD,17:43:00,17:43:00,p07_platform1,7
p1-2022-3WD,17:53:00,17:53:00,p07_platform1,7
p1-2022-3WD,18:03:00,18:03:00,p07_platform1,7
p1-2022-3WD,18:13:00,18:13:00,p07_platform1,7
p1-2022-3WD,18:23:00,18:23:00,p07_platform1,7
p1-2022-3WD,18:33:00,18:33:00,p07_platform1,7
p1-2022-3WD,18:43:00,18:43:00,p07_platform1,7
p1-2022-3WD,18:53:00,18:53:00,p07_platform1,7
p1-2022-3WD,19:03:00,19:03:00,p07_platform1,7
p1-2022-3WD,19:13:00,19:13:00,p07_platform1,7
p1-2022-3WD,19:23:00,19:23:00,p07_platform1,7
p1-2022-3WD,19:33:00,19:33:00,p07_platform1,7
p1-2022-3WD,19:43:00,19:43:00,p07_platform1,7
p1-2022-3WD,19:53:00,19:53:00,p07_platform1,7
p1-2022-3WD,20:03:00,20:03:00,p07_platform1,7
p1-2022-3WD,20:13:00,20:13:00,p07_platform1,7
p1-2022-3WD,20:23:00,20:23:00,p07_platform1,7
p1-2022-3WD,20:33:00,20:33:00,p07_platform1,7
p1-2022-3WD,20:43:00,20:43:00,p07_platform1,7
