service_id,date,exception_type
2022-11WE,20221121,1
2022-11WE,20221122,1
2022-11WD,20221123,2
2022-11WE,20221124,1
2022-11WE,20221125,1
2022-11WD,20221126,2
2022-11WD,20221127,2
2022-11WE,20221128,1
2022-11WE,20221129,1
2022-11WE,20221130,1
2022-12WE,20221201,1
2022-12WE,20221202,1
2022-12WD,20221203,2
2022-12WD,20221204,2
2022-12WE,20221205,1
2022-12WE,20221206,1
2022-12WE,20221207,1
2022-12WE,20221208,1
2022-12WE,20221209,1
2022-12WD,20221210,2
2022-12WD,20221211,2
2022-12WE,20221212,1
2022-12WE,20221213,1
2022-12WE,20221214,1
2022-12WE,20221215,1
2022-12WE,20221216,1
2022-12WD,20221217,2
2022-12WD,20221218,2
2022-12WE,20221219,1
2022-12WE,20221220,1
2022-12WE,20221221,1
2022-12WE,20221222,1
2022-12WE,20221223,1
2022-12WD,20221224,2
2022-12WD,20221225,2
2022-12WE,20221226,1
2022-12WE,20221227,1
2022-12WE,20221228,1
2022-12WE,20221229,1
2022-12WE,20221230,1
2022-12WD,20221231,2
2023-01WD,20230101,2
2023-01WD,20230102,2
2023-01WE,20230103,1
2023-01WE,20230104,1
2023-01WE,20230105,1
2023-01WE,20230106,1
2023-01WD,20230107,2
2023-01WD,20230108,2
2023-01WD,20230109,2
2023-01WE,20230110,1
2023-01WE,20230111,1
2023-01WE,20230112,1
2023-01WE,20230113,1
2023-01WD,20230114,2
2023-01WD,20230115,2
2023-01WE,20230116,1
2023-01WE,20230117,1
2023-01WE,20230118,1
2023-01WE,20230119,1
2023-01WE,20230120,1
2023-01WD,20230121,2
2023-01WD,20230122,2
2023-01WE,20230123,1
2023-01WE,20230124,1
2023-01WE,20230125,1
2023-01WE,20230126,1
2023-01WE,20230127,1
2023-01WD,20230128,2
2023-01WD,20230129,2
2023-01WE,20230130,1
2023-01WE,20230131,1
2023-02WE,20230201,1
2023-02WE,20230202,1
2023-02WE,20230203,1
2023-02WD,20230204,2
2023-02WD,20230205,2
2023-02WE,20230206,1
2023-02WE,20230207,1
2023-02WE,20230208,1
2023-02WE,20230209,1
2023-02WE,20230210,1
2023-02WD,20230211,2
2023-02WD,20230212,2
2023-02WE,20230213,1
2023-02WE,20230214,1
2023-02WE,20230215,1
2023-02WE,20230216,1
2023-02WE,20230217,1
2023-02WD,20230218,2
2023-02WD,20230219,2
2023-02WE,20230220,1
2023-02WE,20230221,1
2023-02WE,20230222,1
2023-02WD,20230223,2
2023-02WE,20230224,1
2023-02WD,20230225,2
2023-02WD,20230226,2
2023-02WE,20230227,1
2023-02WE,20230228,1
2023-03WE,20230301,1
2023-03WE,20230302,1
2023-03WE,20230303,1
2023-03WD,20230304,2
2023-03WD,20230305,2
2023-03WE,20230306,1
2023-03WE,20230307,1
2023-03WE,20230308,1
2023-03WE,20230309,1
2023-03WE,20230310,1
2023-03WD,20230311,2
2023-03WD,20230312,2
2023-03WE,20230313,1
2023-03WE,20230314,1
2023-03WE,20230315,1
2023-03WE,20230316,1
2023-03WE,20230317,1
2023-03WD,20230318,2
2023-03WD,20230319,2
2023-03WE,20230320,1
2023-03WD,20230321,2
2023-03WE,20230322,1
2023-03WE,20230323,1
2023-03WE,20230324,1
2023-03WD,20230325,2
2023-03WD,20230326,2
2023-03WE,20230327,1
2023-03WE,20230328,1
2023-03WE,20230329,1
2023-03WE,20230330,1
2023-03WE,20230331,1
